S.No,eng_dialouges,font_size
image85,Ethan: Ethan hunt reporting on duty!,20
image86,"Ethan: Sir, here is the success report on how well the AI machine is performing",20
image87,Adam reads the report and finds there is no information about the backdoor code,20
image88,Adam (Angry): The report is full of s*** just like you,20
image89,"Adam: See this, there is huge hole that you left unnoticed",20
image90,Ethan: We tried to fix this code but somebody is overriding it. Adam: I know who it is. It's Dr.Finch!,20
image91,"Ethan: But sir, he is dead as per our records. Adam: No he is not, I want him dead for real this time.",20
image92,Adam feels pressured as the promised deadline to provide the AI access for the billionares is nearing,20
image93,"Ethan: We have to capture the scientist and his resources, without leaving anything behind.",20
image94,"Ethan: You will find this setup in his lab. Destroy it, it shouldn't be accessible to anybody else.",20
image95,Ethan captures Dr.Finch ,20
image96,"Dr.Finch: Please don't do this, you are making a bit mistake. Ethan: This is the end of everything!",20
image97,The AI cannot see Dr.Finch movement and activates contingency plan.,20
image98,Michael King now gets a call as he is the contingency plan.,20
image99,King receives the number of Dr.Finch and searches for him.,20
image100,King is clueless on what danger Dr.Finch has gotten into,20
image101,King finds out where Dr.Finch is kept in custody,20
image102,The conman - King fights the guards and rescues Dr.Finch,20
image103,They both move to a public place to dicuss on what to be done next,20
image104,Dr.Finch: King thanks for all your help. I am going to put an end for what I have created.,20
image105,"Dr.Finch: The machine should be destroyed immediately, otherwise it could end up in the wrong hands or the AI iteslf will taken control over humans like skynet.",20
image106,King: But we can save a lot of people with the information the machine gives us. Do you want to let down all the people who can be saved?,20
image107,Dr.Finch: You don't know the power of AI. It is capable of anything.,20
image108,"King: But you are the creator of it, you can control it.",20
image109,"Finch: Probably, but a machine is just a machine. It even orders to kill me and you if it finds that we are ready to comprise it. That's how its programed.",20
image110,****Now its up to the audience to decide whether to kill the AI or to use it for greater purpose****,20
