Sno,Dialogue,Font
image94,"एथन: आपको यह सेटअप उसकी प्रयोगशाला में मिलेगा।इसे नष्ट करें, यह किसी और के लिए सुलभ होना चाहिए।",20
image95,एथन ने डॉ। फिंच को कैप्चर किया,20
image96,"Dr.Finch: कृपया ऐसा न करें, आप थोड़ी गलती कर रहे हैं।एथन: यह सब कुछ का अंत है!",20
image97,AI डॉफिंच आंदोलन को नहीं देख सकता है और आकस्मिक योजना को सक्रिय करता है।,20
image98,माइकल किंग को अब एक कॉल मिलती है क्योंकि वह आकस्मिक योजना है।,20
image99,राजा को डॉफिंच की संख्या प्राप्त होती है और उसे खोजता है।,20
image100,राजा इस बात पर अटूट है कि डॉफिंच ने किस खतरे को प्राप्त किया है,20
image101,राजा को पता चलता है कि डॉ। फिंच को हिरासत में रखा गया है,20
image102,कॉनमैन - राजा गार्ड से लड़ता है और डॉ। फिंच को बचाता है,20
image103,वे दोनों एक सार्वजनिक स्थान पर आगे बढ़ते हैं कि आगे क्या किया जाए,20
image104,"Dr.Finch: राजा आपकी सभी मदद के लिए धन्यवाद।मैंने जो बनाया है, उसके लिए मैं अंत करने जा रहा हूं।",20
image105,"Dr.Finch: मशीन को तुरंत नष्ट कर दिया जाना चाहिए, अन्यथा यह गलत हाथों में समाप्त हो सकता है या AI Iteslf Skynet जैसे मनुष्यों पर नियंत्रण ले जाएगा।",20
image106,राजा: लेकिन हम बहुत से लोगों को बचा सकते हैं जो मशीन हमें बताती है।क्या आप उन सभी लोगों को निराश करना चाहते हैं जिन्हें बचाया जा सकता है?,20
image107,डॉ। फिंच: आप एआई की शक्ति नहीं जानते हैं।यह कुछ भी करने में सक्षम है।,20
image108,"राजा: लेकिन आप इसके निर्माता हैं, आप इसे नियंत्रित कर सकते हैं।",20
image109,"फिंच: शायद, लेकिन एक मशीन सिर्फ एक मशीन है।यहां तक कि यह मुझे और आपको मारने का आदेश देता है अगर यह पता चलता है कि हम इसे शामिल करने के लिए तैयार हैं।इस तरह से इसका प्रोग्राम है।",20
image110,**** अब यह तय करने के लिए दर्शकों के लिए है कि क्या एआई को मारना है या अधिक से अधिक उद्देश्य के लिए इसका उपयोग करना है ****,20
